M0,M1,M2,M3,M4,M5,M6,zzM0,zzM1,zzM2,zzM3,zzM4,zzM5,zzM6,driftM0,driftM1,driftM2,driftM3,driftM4,driftM5,driftM6,MassDif_M1,MassDif_M2,MassDif_M3,MassDif_M4,MassDif_M5,MassDif_M6,CumulativeDiff_0,CumulativeDiff_1,CumulativeDiff_2,CumulativeDiff_3,CumulativeDiff_4,CumulativeDiff_5,CumulativeDiff_6,xdrift,mz,rt,cand,class,plant,FN,class_YB,ori_index
1.241067,7.098891,15.100046,0.0,0.0,0.0,0.0,0.12497181170339053,0.0209148362290962,0.011969492846764957,4.0,4.0,4.0,4.0,-2,9,10,100,100,100,100,1.017,1.007,,,,,-0.002,1.015,2.022,,,,,1.7362123526036173,386.11959206619963,1090.1448828125,rej1,AL,Alf,N,U,0
0.6829957,6.0841165,8.7281877,0.0,0.0,0.0,0.0,0.09885703886078916,0.02369128892366451,0.02984493378851189,4.0,4.0,4.0,4.0,-1,9,10,100,100,100,100,1.0159999999999998,1.007,,,,,-0.001,1.015,2.022,,,,,24.77765929219309,386.11959206619963,1090.1448828125,rej1,AL,Alf,N,U,1
0.2915216,4.6690681,11.5925414,0.0,0.0,0.0,0.0,0.23871643129788106,0.0332991787027794,0.020585589046294275,4.0,4.0,4.0,4.0,0,7,8,100,100,100,100,1.013,1.0070000000000001,,,,,0.0,1.013,2.02,,,,,24.87555895519404,386.11959206619963,1090.1448828125,rej1,AL,Alf,N,U,2
6574.656,8381.841,1933.186,0.0,0.0,0.0,0.0,0.013759528783495342,0.030582536325703995,0.012019513280964044,4.0,4.0,4.0,4.0,2,1,0,100,100,100,100,1.005,1.005,,,,,0.002,1.007,2.012,,,,,1.7666918237202234,386.11959206619963,1090.1448828125,rej1,BL,Broc,Y,L,3
7614.305,5898.193,3406.297,0.0,0.0,0.0,0.0,0.02122969736559592,0.02245977082526197,0.02197621796128719,4.0,4.0,4.0,4.0,1,0,-1,100,100,100,100,1.005,1.005,,,,,0.001,1.006,2.011,,,,,3.533383647440578,386.11959206619963,1090.1448828125,rej1,BL,Broc,Y,L,4
8436.016,6041.597,3292.703,0.0,0.0,0.0,0.0,0.008180484945831247,0.009556337060768215,0.007289789232498889,4.0,4.0,4.0,4.0,3,2,1,100,100,100,100,1.005,1.005,,,,,0.003,1.008,2.013,,,,,0.0,386.11959206619963,1090.1448828125,rej1,BL,Broc,Y,L,5
59.39682,115.3144,171.78488000000004,203.70177,0.0,0.0,0.0,0.044121409840826464,0.034417593001290187,0.040603707878434835,0.042418846057115996,4.0,4.0,4.0,-4,-4,-4,-5,100,100,100,1.006,1.006,1.005,,,,-0.004,1.002,2.008,3.013,,,,0.0,870.5693316557048,1833.65185546875,rej2,AL,Alf,Y,L,6
28.53206,62.35295,105.77085,125.3552,0.0,0.0,0.0,0.03775877912161837,0.057895770624162166,0.05530191539653693,0.06344682248561549,4.0,4.0,4.0,-5,-4,-5,-6,100,100,100,1.007,1.005,1.005,,,,-0.005,1.002,2.007,3.012,,,,21.74472867156546,870.5693316557048,1833.65185546875,rej2,AL,Alf,Y,L,7
33.86828,63.64406,105.19699,123.07301,0.0,0.0,0.0,0.043296801590374696,0.04275151599649146,0.03711015496503607,0.04964096017446872,4.0,4.0,4.0,-3,-4,-3,-3,100,100,100,1.005,1.007,1.0059999999999998,,,,-0.003,1.002,2.009,3.015,,,,22.37375098934754,870.5693316557048,1833.65185546875,rej2,AL,Alf,Y,L,8
111.2849,203.529,268.6356,291.1868,0.0,0.0,0.0,0.015498673676107784,0.013649912529342587,0.01526579938752994,0.012969330732702974,4.0,4.0,4.0,-5,-5,-6,-7,100,100,100,1.006,1.005,1.0049999999999994,,,,-0.005,1.001,2.006,3.011,,,,0.0,870.5693316557048,1833.65185546875,rej2,BL,Broc,Y,L,9
92.69191,150.63734,191.49333,195.05511,0.0,0.0,0.0,0.03915550424033221,0.036801441280644616,0.045287591643559735,0.04065371884205357,4.0,4.0,4.0,-7,-8,-9,-9,100,100,100,1.005,1.005,1.0059999999999998,,,,-0.006999999999999999,0.998,2.003,3.009,,,,2.7274331644728917,870.5693316557048,1833.65185546875,rej2,BL,Broc,Y,L,10
